606,210,919,227,912,355,599,338
1089,245,1209,245,1209,359,1089,359
1411,283,1625,283,1625,378,1411,378
1831,315,2216,307,2218,405,1833,413
2425,315,2589,315,2589,422,2425,422
2660,314,2845,335,2833,439,2649,418
2962,319,3216,327,3212,436,2958,427
3364,321,3635,321,3635,434,3364,434
3773,346,3956,346,3956,441,3773,441
617,585,844,585,844,711,617,711
982,623,1165,623,1165,705,982,705
1324,616,1817,631,1813,739,1320,723
1940,636,2072,636,2072,743,1940,743
2188,637,2494,659,2486,764,2180,742
581,923,874,939,867,1061,574,1045
1025,983,1423,975,1425,1083,1027,1091
1562,976,1663,976,1663,1071,1562,1071
1752,966,2001,980,1995,1095,1746,1082
1981,983,2273,974,2277,1104,1985,1113
2431,989,2564,989,2564,1127,2431,1127
2822,1001,3080,1001,3080,1102,2822,1102
2683,1014,2822,1014,2822,1121,2683,1121
549,1324,779,1309,788,1438,557,1453
1600,1323,1795,1323,1795,1423,1600,1423
1934,1323,2192,1323,2192,1423,1934,1423
926,1329,1121,1329,1121,1411,926,1411
2337,1329,2608,1329,2608,1430,2337,1430
1272,1335,1486,1335,1486,1417,1272,1417
